,title,link,description,long_description,id,keyword_set
74,opinion reversed better say home murali gopi joins controversy,https://www.newspointapp.com/malayalam-news/publisher-eastcoastdailymovie-malayalam/top-news/articleshow/1450482007675ccd1f0007bc9978aab9283a8eec,actor screenwriter murali gopi come stand cpm activists jamia millia university student ayesha renna citizenship law amendment,actor screenwriter murali gopi come stand cpm activists jamia millia university student ayesha renna citizenship law amendment,1051 ,"['screenwriter murali gopi', 'cpm activists']"
75,raveena tandon farah khan bharti singh slapped second fir punjab hurting religious sentiments,http://timesofindia.indiatimes.com/videos/entertainment/hindi/raveena-tandon-farah-khan-and-bharti-singh-slapped-with-second-fir-in-punjab-for-hurting-religious-sentiments/videoshow/73032423.cms,within week fir lodged actor raveena tandon choreographer filmmaker farah khan comedian bharti singh amritsars ajnala town second fir filed trio,within week fir lodged actor raveena tandon choreographer filmmaker farah khan comedian bharti singh amritsars ajnala town second fir filed trio ferozepur punjab three booked hurting religious sentiments tv show section indian penal code first fir filed december post farah raveena issued formal apologies respective twitter accounts two emphasised unintentionally done expressed regret behalf entire team,200 ,"['hurting religious sentiments', 'bharti singh slapped', 'second fir', 'raveena tandon', 'farah khan', 'filmmaker farah khan', 'comedian bharti singh', 'actor raveena tandon', 'trio ...', 'second fir', 'ajnala town']"
76,walks talks kunal kemmu shares pretty picture wifey soha ali khan take walk streets sydney,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/walks-and-talks-kunal-kemmu-shares-a-pretty-picture-with-wifey-soha-ali-khan-as-they-take-a-walk-on-the-streets-of-sydney/articleshow/73032717.cms,celebrating christmas family soha ali khan kunal kemmu tiny tot inaaya kemmu jetted sydney ring new year day ago soha took instagram share beau,celebrating christmas family soha ali khan kunal kemmu tiny tot inaaya kemmu jetted sydney ring new year day ago soha took instagram share beautiful picture romancing australia,1868 ,"['kunal kemmu shares', 'pretty picture', 'soha ali khan', 'soha took', 'new year', 'kunal kemmu', 'day ago', 'celebrating christmas', 'beau ...']"
77,uddhav thackeray inducts son others ajit pawar sworn deputy cm,https://timesofindia.indiatimes.com/india/uddhav-thackeray-inducts-son-35-others-ajit-pawar-sworn-in-deputy-cm/articleshow/73032914.cms,mumbai maharashtra chief minister uddhav thackeray monday expanded month old ministry inducting ministers including year old son aaditya ncp leader ajit pawar,mumbai maharashtra chief minister uddhav thackeray monday expanded month old ministry inducting ministers including year old son aaditya ncp leader ajit pawar sworn deputy chief minister governor bhagat singh koshyari administered oath ministers ncp congress shiv sena vidhan bhavan state legislature premises south mumbai expansion raised strength state ministry came month thackeray led maharashtra vikas aghadi mva government came power ministers sworn monday include cabinet four ministers state ncp eight cabinet four mos shiv sena eight cabinet two mos congress ncp cabinet ministers four mos shiv sena cabinet ministers four mos congress cabinet ministers two mos ajit pawar sworn deputy chief minister former maharashtra chief minister ashok chavan yuva sena chief aaditya thackeray among cabinet ministers took oath pawar sworn post second time month pawar taken oath deputy cm november rebelled ncp joined hands bjp however resigned november leading collapse three day devendra fadnavis government senior congress leader former chief minister prithviraj chavan find place thackerays ministry speculation may lead state congress unit bjp leaders sena mp sanjay raut skipped ministry expansion ceremony government fulfilled expectations maharashtras farmers dont feel like attending ceremony bjp leader said another bjp leader said uddhav thackeray sworn shivaji park last month state bjp leaders including leader opposition assembly devendra fadnavis present need attend every cabinet expansion ceremony rauts absence attributed brother sunil raut sena mla finding place ministry expansion shiv sena kept senior leaders ramdas kadam diwakar raote ministers previous devendra fadnavis led government new council ministers instead included allies shankarrao gadakh krantikari shetkari paksh cabinet minister rajendra patil yedravkar independent bachchu kadu prahar janshakti party ministers state senior ncp leaders nawab malik anil deshmukh ministers previous congress ncp government also found place ministry two leaders defeated assembly polls emerged victorious state elections held october year ncp leader former assembly speaker dilip walse patil former leader opposition legislative council dhananjay munde former lop assembly vijay wadettiwar also sworn chief minister uddhav thackeray ncp supremo sharad pawar among present swearing ceremony maharashtra vikas aghadi ministry led uddhav thackeray sworn november balasaheb thorat nitin raut congress eknath shinde subhash desai shiv sena jayant patil chhagan bhujbal ncp took oath along thackeray size council ministers cannot exceed per cent total number mlas state result maharashtra maximum ministers shiv sena last month joined hands congress ncp traditional adversaries alliance bjp collapsed issue sharing chief ministerial post shiv sena mlas ncp congress members member assembly bjp mlas,3877 ,"['ajit pawar sworn', 'deputy cm', '35 others', 'inducting 36 ministers', 'old son aaditya', 'old ministry', 'monday expanded']"
78,indian bank change interest rate january,https://navbharattimes.indiatimes.com/business/business-news/indian-bank-will-change-the-interest-rate-from-january-3/articleshow/73033433.cms,chennai december language indian bank monday announced change marginal cost based rate mclr fund loans different maturities new rates applicable january bank shares bombay shares,chennai december language indian bank monday announced change marginal cost based rate mclr fund loans various maturities new rates applicable january bank shares bombay shares,1 ,"['january 3', 'interest rate', 'indian bank', 'new rates', 'monday announced', 'january 3', 'indian bank', 'different maturities', '30 december']"
79,spg chief arun kumar sinha gets service extension,https://navbharattimes.indiatimes.com/india/spg-chief-arun-kumar-sinha-gets-service-extension/articleshow/73034058.cms,new delhi december language senior ips officer arun kumar sinha given one year service extension director special protection group spg monday order ministry personnel,new delhi december language senior ips officer arun kumar sinha given one year extension service director special protection group spg monday order ministry personnel,2254 ,"['year service extension', 'special protection group', 'new delhi', 'h ...', '30 december']"
80,himanshi khurana looks cute pictures,https://www.newspointapp.com/english-news/publisher-newstracklive/top-news/himanshi-khurana-looks-cute-pictures/articleshow/145048207a2f3ac32156ca3fcd733f84c208c6f0,himanshi khurana seen bigg boss recently created sensation sharing many photos social media also see himanshi punjabi actress new pic,himanshi khurana seen bigg boss recently created sensation sharing many photos social media also see himanshi punjabi actress new pictures set fire time new pictures winning hearts fans seeing photos himanshi khurana heart anyone get stuck may called aishwarya rai punjab photos himanshi khurana punjabs singer friend,1658 ,"['new pic ...', 'bigg boss 13', 'social media', 'sharing many', 'recently created', 'punjabi actress', 'himanshi khurana', 'also see']"
81,chhapak deepika shares fun film sets videos director team,https://navbharattimes.indiatimes.com/movie-masti/news-from-bollywood/deepika-padukone-shares-a-series-videos-from-sets-of-film-chhapaak/articleshow/73034488.cms,deepika currently busy promoting chhapak padukone co star vikrant messi film film based real life story,deepika currently busy promoting chhapak padukone co star vikrant messi film film based real life story,5358 ,"['film set', 'star vikrant messi', 'real life story', 'currently busy promoting']"
82,bhallaladevas intoxication,https://www.newspointapp.com/telugu-news/publisher-telugumirchi-telugu/top-news/articleshow/14504820189b3d235fb6dea8f4b77697bb333dad,keeravani tanuyi sri sinha kalbhairavu made debut industry film madhu vadalara,keeravani tanuyas sri sinha kalbhairavu made debut industry film madhu vadalara,1052 ,"['intoxication ..', ""madhu vadalara '.""]"
83,want crafts without plastics says radhika,https://www.newspointapp.com/english/toi/videos/entertainment?id=e9eafa8b9c8457e1f304a1c9def2632b&utm_source=oppo&utm_medium=C1&utm_campaign=CTN,,,5359 ,[]
84,new year full hope india return growth,https://www.newspointapp.com/malayalam-news/publisher-malayalamsamayam/business/articleshow/145048209003ec02370d794ab86d6a1d564a1fbd,new delhi indian economy set grow ci said govt rbis policy slowing economy back,new delhi indian economy set grow according ci policies government rbi gradually returning economy,631 ,"['new year', 'economy back ...', 'indian economy', 'new delhi', 'ci said']"
85,crop propaganda kashmir facebook bans,https://www.newspointapp.com/gujarati-news/publisher-iamgujarat-gujarati/top-news/articleshow/14504820dddb122f316851f7e6173e73b580e90b,islamabad facebook banned live streaming pakistan broadcasting corporation pbc news bulletin related jammu kashmir continue live streaming radio pakistans bulletins youtube,islamabad facebook stopped live streaming pakistan broadcasting corporation pbc news bulletin related jammu kashmir continue streaming live pakistan radio bulletins youtube,4230 ,"['facebook bans', 'crop propaganda', 'news bulletin related', 'continue live streaming', 'banned live streaming', 'pakistan broadcasting corporation', 'radio pakistan', 'youtube ...']"
86,rajshahi royals vs rangpur rangers watch telecast live streaming details," Bangladesh Premier League 2019-20""",https www newspointapp com english news publisher sportskeeda top news rajshahi royals vs rangpur rangers watch telecast live streaming details bangladesh premier league articleshow ba fd c ea,andre russell lead rajshahi royals final match decade feature battle rajshahi royals teams endured contrasting fortunes th december th,"Andre Russell will lead Rajshahi Royals The final match of this decade will feature a battle between the Rajshahi Royals and the . Both the teams endured contrasting fortunes on 30th of December as the Royals succumbed to a 74-run loss against Dhaka Platoon while Rangpur defeated Sylhet Thunder by 7 wickets. However, on the points table, the Royals hold a better position than their rivals. They sit fourth with 5 wins in 7 games whereas the Rangers have won only two of their 7 matches thus far...","['live streaming details', 'www']"
87,one year extension spg leader,http://www.Dinakaran.com/News_Detail.asp?Nid=552726,new delhi spg chief arun kumars tenure extended year ips officer arun kumar chief special security force spg since march,new delhi spg chief arun kumars tenure extended year ips officer arun kumar chief special security force spg since march,1659 ,"['year extension', 'spg leader', 'special security force', 'since march 2016', 'new delhi']"
88,natural born indian citizen become president vp prime minister,https://m.economictimes.com/news/politics-and-nation/only-natural-born-indian-citizen-should-become-president-vp-prime-minister/articleshow/17523060.cms,flipboard natural born indian citizen become president vp prime minister natural born citizen india eligible hold office president vice president prime,flipboard natural born indian citizen become president vp prime minister natural born citizen india eligible hold office president vice president prime minister bjp member said private members bill introduced lok sabha today pti," Updated: Dec 07, 2012, 07.49 PM IST 0Comments 'Only natural born Indian citizen should become President, VP, Prime Minister' NEW DELHI: Only a natural born citizen of India should be eligible to hold office of President, Vice President and Prime Minister, a BJP member said in a private member's bill introduced in the Lok Sabha today. Bhola Singh (BJP) sought an amendment to the Constitution for the purpose. His proposal was among the 47 private members bills introduced in the House. Other bills introduced in the House sought creation of dedicated banks for financing technology and education, right to employment guarantee of 240 days for BPL families and daily needs and setting up more High Court benches in the country. The Technology Bank of India Bill, 2012 was introduced by Arjun Ram Megwal (BJP) which sought to create a dedicated bank to promote research and development in the country by providing interest free loans to researchers. The Education Bank of India Bill, 2012 was also introduced by Megwal, which sought creation of a dedicated bank for providing easy terms loans to students particularly for higher education. Singh also introduced another Constitutional amendment bill to give right of 240 days employment guarantee in a year and essential items of daily use like fuel, milk, items of groceries and vegetable to people living below poverty line. J P Aggarwal (Cong) introduced a Constitutional amendment bill seeking more High Court benches in the country for speedy delivery of justice. Rattan Singh (SAD) also moved a Constitutional amendment bill seeking omission of the clause that shows that Sikh, Jain and Buddhist religions also fall in the definition of Hindu. Some other bills introduced include Promotion of Small Family, Abolition of Begging Bill and Sanskrit Language (Compulsory Teaching in Schools) Bill. After discussion on the Ban of Witchcraft Bill, 2010, it was put to vote and defeated. The bill was introduced by Independent member Om Prakash Yadav , who was not present at the time of voting on his bill. During reply on the bill, Minister of State for Women and Child Development Krishna Tirath said government is awaiting the findings of a study to make law on this issue. She said this bill cannot be passed because government would first examine the findings of the study being conducted and then draft a legislation. She said it is tragedy that only women are called witch and punished and lamented that this practice is prevalent to deprive women of their right in property. Read more on""","['prime minister', 'become president', 'natural born citizen', 'vice president', 'prime minister', 'hold office', 'become president']"
89,bihar cm asks officials promote pulp wood paper industries,https://timesofindia.indiatimes.com/city/patna/bihar-cm-asks-officials-to-promote-pulp-wood-and-paper-industries-in-bihar/articleshow/73035801.cms,patna bihar cm nitish kumar monday asked officials take necessary steps promote pulp wood paper industry state addressing meeting udyami panchayat plywood veneer,patna bihar cm nitish kumar monday asked officials take necessary steps promote pulp wood paper industry state addressing meeting udyami panchayat plywood veneer furniture industries samvad auditorium cm asked state chief secretary deepak kumar prepare specific policy promotion pulp wood paper industry earliest taking views stakeholders work promote paper industry state view increasing utility paper besides promoting plywood veneer furniture industries several objectives hariyali mission agriculture road map fulfilled ensure development paper pulp wood related industries state pulp wood related industries increase income farmers also create new avenues employment nitish said addressing meeting cm asked chief secretary industries officials get study done sending team experts industrialists states done something better field paper industries officials also suggest modifications state government industrial investment promotion policy promote paper related industries nitish said adding main aim increase state green cover along income farmers earlier cm sought know industrialists hurdles promoting paper industries state local industrialist sanjay goenka represented bihar industries association bia along president ram lal khetan meeting told toi gave suggestions promoting agro forestry large scale production soft woods like popular semal trees producing main ingredients pulp industries also suggested making certain modifications forest produce related rules promote afro forestry state cm agreed cultivation soft woods brought purview agriculture department instead forest department goenka told toi nitish also informed meeting state government made policy government buildings would done ready along furnishing need using local items furnishing work regional industries promoted cm said representatives bihar chamber commerce industries furniture industries also attended meeting industries minister shyam rajak also expressed views promotion plywood veneer industries prominent persons attended meet deputy cm sushil kumar modi energy minister bijendra prasad yadav agriculture minister prem kumar,428 ,"['promote pulp wood', 'paper industries', 'take necessary steps', 'promote pulp wood', 'udyami panchayat', 'paper industry', 'monday asked']"
90,veteran politician passed away,https://maharashtratimes.indiatimes.com/india-news/manohar-parrikar-to-sushma-swaraj-top-indian-politicians-died-in-2019/articleshow/73035862.cms,painful year indian politics many veteran politicians passed away news demise leaders made different impression politics caused stir political circles,year painful indian politics many veteran politicians died demise leaders made different mark politics gradually become distraction political circles,3262 ,"['veteran politician', 'passed away', 'political circles', 'painful year', 'indian politics', 'different impression']"
91,remake bollywood film kiara advani would like part,http://timesofindia.indiatimes.com/videos/entertainment/hindi/a-remake-of-a-bollywood-film-kiara-advani-would-like-to-be-a-part-of/videoshow/73035433.cms,,,6727 ,[]
92,volkswagen trademarks sport go coupe,https://www.newspointapp.com/english-news/publisher-etauto/automobile/volkswagen-trademarks-t-sport-t-go-t-coupe/articleshow/145048200e302d9e99f07dfeadfe4092dc0afd2f,launched three new models take total number badge portfolio five models automaker already cross roc subcompact crossovers new delhi volkswagen,launched three new models take total number badge portfolio five models automaker already cross roc subcompact crossovers new delhi volkswagen german auto giant filed three new trademarks bid expand companys badged crossover portfolio new badges sport go coupe reveals media report launched three new models take total number badge portfolio five models,2883 ,"['volkswagen trademarks', 'roc subcompact crossovers', 'three new models', 'new delhi', 'five models', 'total number', 'badge portfolio', 'automaker already']"
93,macro uncertainties persist chandra,https://timesofindia.indiatimes.com/business/india-business/macro-uncertainties-will-persist-in-20-chandra/articleshow/73037981.cms,reeba zachariah,tnn mumbai new year message seven lakh employees tata group chairman chandrasekaran admitted macro uncertainties persist remained optimistic,"""Reeba Zachariah ","['macro uncertainties', '“ reeba zachariah']"
94,crime graph goes chittoor dist,https://www.newspointapp.com/english-news/publisher-toi/City/crime-graph-goes-up-in-chittoor-dist/articleshow/145048206e34e7f15f08b01280b63dc9c3337cec,chittoor tirupati urban police wings part chittoor district released crime data pertaining monday comprehensive crime data indicates overall,chittoor tirupati urban police wings part chittoor district released crime data pertaining monday comprehensive crime data indicates overall crime rate went police sub divisions jurisdiction chittoor police wing crime women saw decline across sub divisions control tirupati urban police wing year speaking reporters district headquarters chittoor monday sp,1869 ,"['crime graph goes', 'chittoor dist', 'crime data pertaining', 'overall ...', 'chittoor district']"
95,aaditya cabinet ajit back dy cm,https://www.newspointapp.com/english-news/publisher-toi/City/aaditya-cabinet-ajit-back-dy-cm/articleshow/145048206a052aca88643008003799b79cf0ada6,mumbai debutant mla aaditya thackeray monday inducted cabinet minister maha vikas aghadi government led father uddhav thackeray making first father son duo,mumbai debutant mla aaditya thackeray monday inducted cabinet minister maha vikas aghadi government led father uddhav thackeray making first father son duo part cabinet together maharashtra ncp ajit pawar rebelled uncle sharad pawar joined hands bjp devendra fadnavis become deputy second short lived fadnavis led government collapsed hours returned deputy chie,3479 ,"['dy cm', 'ajit back', 'father uddhav thackeray', 'first father', 'son duo', 'monday inducted', 'cabinet minister']"
96,ajit pawar sworn deputy chief minister video,https://tamil.samayam.com/news-video/news/ajit-pawar-takes-oath-as-deputy-cm-in-maharashtra/videoshow/73028413.cms,ajit pawar sworn deputy chief minister video,ajit pawar sworn deputy chief minister video,201 ,"['deputy chief minister', 'ajit pawar sworn', 'deputy chief minister', 'ajit pawar sworn']"
97,fire near modi residence short circuit,https://vijaykarnataka.indiatimes.com/news/india/fire-accident-in-pm-modis-house-at-lok-kalyan-marg-in-delhi/articleshow/73034491.cms?utm_source=colombia&utm_campaign=colombiaorganic&utm_medium=webwap,fire broke around pm monday evening near spg reception area world welfare route causing anxiety fire broke prime minister narendra modis delhi residence,fire broke around pm monday evening near spg reception area world welfare route causing anxiety fire broke prime minister narendra modis delhi residence,6896 ,"['short circuit', 'world welfare route', 'spg reception area', 'monday evening near', 'delhi residence ...', 'fire broke', 'around 7', '30 pm']"
98,tulasi neem plant gift say happy new year,https://navbharattimes.indiatimes.com/metro/lucknow/other-news/tulasi-neem-plant-gift-will-say-happy-new-year/articleshow/73037896.cms,increased demand plants shop many flower vendors city tanishka saini lucknow city ready welcome new year situation,increased demand plants shop many flower vendors city tanishka saini lucknow city ready welcome new year situation,202 ,"['neem plant gift', 'happy new year', 'new year 2020', 'many flower vendors', 'b tanishka saini', 'situation ...', 'increased demand']"
99,established number one position permanent issue permanent issues,https://www.newspointapp.com/malayalam-news/publisher-malayalamexpress-malayalam/top-news/articleshow/14504820862e02a0a73c9061e83a01f06950f4e3,kerala tops sustainable development goals sdg index year bihar back uttar pradesh odisha sikkim recorded progress munvar movie,kerala tops sustainable development goals sdg index year justice yayog bihar back uttar pradesh odisha sikkim recorded progress munvar movie,4070 ,"['number one position', 'permanent issues', 'permanent issue', 'sustainable development goals', 'sikkim recorded progress', 'munvar ... movie', 'uttar pradesh', 'kerala tops']"
100,kangana dedicates film panga mom,https://www.newspointapp.com/english-news/publisher-toi/entertainment/kangana-dedicates-her-film-panga-mom/articleshow/145048202eeaaf44a1fb08e2287066b2e3ba8fc0,year remained decently well kangana ranaut saw release first historical film manikarnika quirky film like judgemental hai kya kangana also made headlines,year remained decently well kangana ranaut saw release first historical film manikarnika quirky film like judgemental hai kya kangana also made headlines upcoming films like biopic jayalalitha titled thalaivi action film panga set release late actress video clip shared official team page asked followers stay tuned join january th part journey,203 ,"['kangana dedicates', 'quirky film like', 'first historical film', 'kangana ranaut']"
101,four special trains central railway welcome new year,https://maharashtratimes.indiatimes.com/maharashtra/mumbai-news/four-special-trains-for-thiry-first-in-central-mumbai/articleshow/73035920.cms,central railway made special arrangements passengers coming csmt area eight suburbs welcome new year central railway administration decided run four special local trains night tuesday december,new years welcome central railway made special arrangements commuters coming csmt area eight suburbs central railway administration operate four special trains night tuesday december,5552 ,"['four special trains', 'new year', 'central railway', 'made special arrangements', 'central railway administration', 'central railway', 'passengers coming', 'new year', 'eight suburbs', 'december 31', 'csmt area']"
102,heart stubborn,https://maharashtratimes.indiatimes.com/sports/other-sports/the-heart-is-stubborn-/articleshow/73037246.cms,gopal gurav timesgroup com gopalgmt year old boxer nruta shah great example movie affect children priyanka chopras movie meri kom came made mind,gopal gurav timesgroup com gopalgmt year old boxer nritya shah great example movie affect children priyanka chopras mary kom movie came made mind,2884 ,"['com gopalgmt 16', 'priyanka chopra', 'mind ...', 'meri kom', 'great example', 'affect children', '2014 made']"
103,program one important permanent review neutrality,http://timeskerala.com/archives/169345,new deal hi nee thi yog su permanently keeps top kerala year old come center nee thi yo permanent variations,new deal hi nee thi yog su permanently keeps top kerala year old come rescue know,3070 ,"['permanent review', 'new deal hi', 'top kerala']"
104,tamil nadu schools reopen january,https://timesofindia.indiatimes.com/city/chennai/tamil-nadu-schools-to-reopen-on-january-4/articleshow/73039061.cms,chennai government postponed reopening schools tamil nadu day january saturday teachers associations approached government extra day leave saying count,chennai government postponed reopening schools tamil nadu day january saturday teachers associations approached government extra day leave saying counting votes rural local body polls january could go well beyond midnight,204 ,"['tamil nadu schools', 'january 4', 'teachers ’ associations', 'saying count ...', 'extra day leave', 'tamil nadu', 'saturday ).', 'postponed reopening', 'january 4']"
105,butylphenol vinati organics growth driver next years vinati saraf mutreja,https://www.newspointapp.com/english-news/publisher-et-health/health/butylphenol-vinati-organics-growth-driver-next-2-3-years-vinati-saraf-mutreja/articleshow/145048208e582ddda5eb0a349651ce78866cfc29,philosophy generating wealth waste value added products waste reduces effluents also reduces operating costs says vinati saraf mutreja md ceo vina,philosophy generating wealth waste value added products waste reduces effluents also reduces operating costs says vinati saraf mutreja md ceo vinati organics excerpts interview etnow impressive performance vinati organics decade gone exactly key milestones managed deliver twelve years ago first joined company essentially sin,3263 ,"['vinati saraf mutreja', 'vinati organics', 'next 2', 'growth driver', '3 years', 'vina ...', 'generating wealth', 'added products']"
106,killed construction tunnel collapsed china,https://www.prokerala.com/news/articles/a992405.html,four people confirmed dead two others still trapped tuesday morning construction tunnel collapsed north chinas shanxi province local authorities said ac,four people confirmed dead two others still trapped tuesday morning construction tunnel collapsed north chinas shanxi province local authorities said accident occurred around monday tunnel highway city jincheng trapping six people working site xinhua news agency reported one rescued sent nearby hospital died later monday rescuers retrieved bodies another three victims collapsed tunnel tuesday estimated cubic meters debris blocking tunnel search rescue efforts way,2059 ,"['construction tunnel collapsed', '4 killed', 'local authorities said', 'construction tunnel collapsed', 'two others', 'tuesday morning', 'still trapped', 'shanxi province', 'north china', 'four people', 'confirmed dead', 'ac ...']"
107,online pilot license,https://eisamay.indiatimes.com/business/business-news/pilot-license-online/articleshow/73035763.cms,online pilot license time first phase governance service initiated director general civil aviation dgca began monday result commercial pilot license dgca website,pilot license online first phase governance services begun monday initiative director general civil aviation dgca result commercial pilot license dgca website,5768 ,"['online pilot license', 'online pilot license', 'dgca website ...', 'dgca ), began', 'commercial pilot license', 'governance service', 'first phase', 'director general', 'civil aviation']"
108,resolution assembly citizenship amendment act bjp opposes,https://www.malayalamexpress.in/archives/992447/,thiruvananthapuram special assembly pass resolution citizenship amendment act resolution unanimously passed chief minister reservation scheduled castes scheduled tribes unanimously passed house yes,thiruvananthapuram special assembly pass resolution citizenship amendment act resolution unanimously passed chief minister reservation scheduled castes scheduled tribes unanimously passed house yes,4813 ,"['citizenship amendment act', 'bjp opposes', 'citizenship amendment act', 'resolution unanimously passed', 'unanimously passed', 'yes ...', 'special assembly', 'scheduled tribes', 'scheduled castes', 'chief minister']"
109,jac class admit card released download link,https://navbharattimes.indiatimes.com/education/education-news/jac-class-8-admit-card-2020-released-check-here-for-direct-link/articleshow/73041874.cms,jac th admit card jharkhand board issued admit card eighth grade examination held january download clicking official website direct link,jac th admit card jharkhand board released admit card eighth grade examination held january download clicking official website direct link given,1660 ,"['eighth grade examination', '24 january 2020', 'official website', 'jharkhand board', 'direct link', 'admit card']"
110,ajay devgans tanaji play crores release date big films goes away,http://www.rochakkhabare.com/rochak-khabre/0199049054762761/149194,ajay devgan kajols film ishq seen ajay devgan coming awaited film tanaji unsung warrior january film feature wife kajol saif ali khan,ajay devgan kajols film ishq seen ajay devgan coming awaited film tanaji unsung warrior january film feature wife kajol saif ali khan,4990 ,"['release date', 'ajay devgan', 'saif ali khan', '10 january 2020', 'awaited film tanaji', 'film ishq', 'wife kajol', 'unsung warrior', 'ajay devgan']"
111,congress collective fast,https://navbharattimes.indiatimes.com/metro/delhi/other-news/congress-collective-fast/articleshow/73035912.cms,processor new delhi citizenship amendment act caa state congress leader undertake hour hunger strike occasion new year economic recession unemployment election campaign committee delhi congress,processor new delhi citizenship amendment act caa state congress leader undertake hour hunger strike occasion new year economic recession unemployment election campaign committee delhi congress,5553 ,"['congress collective fast', 'hour hunger strike', 'election campaign committee', 'citizenship amendment act', 'state congress leader', 'delhi congress', 'new year', 'new delhi', 'economic recession', 'caa ),']"
112,cold wave continues across state may rain places tomorrow,https://www.newspointapp.com/odia-news/publisher-kanaknews-odia/top-news/articleshow/14504820138e0ec36bd6585d0b8e770bf6d5359a,kanak bureau state experiencing severe winters cold districts even today meteorological department issued yellow warning kalahandi balangir sonpur anugul kendujhar devgarh districts,,205 ,"['places tomorrow', 'may rain', 'issued yellow warning', 'experiencing severe winters', 'meteorological department', 'kanak bureau', 'devgarh districts']"
113,people suffer cold know real reason trembling,https://navbharattimes.indiatimes.com/photomazza/health-relationship/lifestyle-feel-cold-all-the-time-what-are-the-reasons/feeling-cold-all-the-time/photoshow/73039859.cms?frmapp=yes,feel cold winter season cold starts dominating body feel cold time even deli cannot work situation normal especially,feel cold winter season cold starts dominating body feel cold time even deli cannot work situation normal especially,6330 ,"['real reason', 'people suffer', 'deli cannot work', 'cold starts dominating', 'feel cold', 'winter season']"
114,woman killed elephant attack odishas angul,https://www.newspointapp.com/english-news/publisher-odishasuntimes/top-news/woman-killed-elephant-attack-odishas-angul/articleshow/145048204bf5821590baa5565dcbdf505391fd5f,angul tusker trampled woman death gopalpur village purunakot forest range odisha angul district today deceased identified jayanti beer according report,angul tusker trampled woman death gopalpur village purunakot forest range odisha angul district today deceased identified jayanti beer according reports woman gone house around attending nature call elephant attacked killing spot informed purunakot ranger gajendra behera forest officials reached spot started investigation woman body recovered,3071 ,"['woman killed', 'elephant attack', 'purunakot forest range', 'tusker trampled', 'report ...', 'odisha ’', 'jayanti beer', 'gopalpur village', 'angul district', '40 ).']"
115,thousands trapped australia beach encircled fire,https://www.newspointapp.com/english-news/publisher-toi/top-news/thousands-trapped-on-australia-beach-encircled-by-fire/articleshow/14504820c72e69566d0a88b855749d44e5cec3df,sydney thousands holidaymakers locals trapped beach fire ravaged southeast australia tuesday blazes ringed popular tourist area leaving escape land many four th,sydney thousands holidaymakers locals trapped beach fire ravaged southeast australia tuesday blazes ringed popular tourist area leaving escape land many four thousand people trapped foreshore encircled seaside town mallacoota smoke turned day night authorities said nearby fires causing extreme thunderstorms ember attacks weve got fire looks like impact mallacoota victorias emer,3679 ,"['australia beach encircled', 'thousands trapped', 'four th ...', 'blazes ringed']"
116,mans nature tells us design fingers know know,http://hindi.lifeberrys.com/astrology/human-nature-according-to-fingers-116939.html,must seen help palmistry astrology past present future person detected know science astrology oceanography person,must seen help palmistry astrology past present future person detected know science astrology oceanography person,429 ,"['nature tells us', 'person ...', 'palmistry astrology']"
117,one killed perumbavoor accident sabarimala pilgrim killed injured,https://www.newspointapp.com/malayalam-news/publisher-malayalamsamayam/top-news/articleshow/145048200c3dcf2729b275ddb0b14651712232c6,perumbavoor one person died vehicle crashed sabarimala pilgrimage perumbavoor people injured deceased dharmalinga native tamil nadu also read morning,perumbavoor one person died vehicle crashed sabarimala pilgrimage perumbavoor people injured deceased dharmalinga native tamil nadu also read morning,4991 ,"['one killed', '17 injured', 'one person died', 'vehicle crashed', 'tamil nadu', 'sabarimala pilgrimage', 'morning ...', 'also read', '17 people']"
118,entry tourists lions point,https://www.dainikprabhat.com/tourists-no-entry-at-lions-point/,thirty first lonavla polices instructions backdrop new year,lonavla police notices background thirty first new year lonavla backdrop ongoing rioting crowded traffic congestion lions point area forest department issued report december,6897 ,"['lions point', 'new year']"
119,propaganda stricter measures protect marine fish wealth rejected minister merisikutty amma,https://www.newspointapp.com/malayalam-news/publisher-malayalamexpress-malayalam/top-news/articleshow/145048206725c6a240405f28ae10a881796747ff,kochi minister fisheries aquatic resources jayalalithaa dismissed rumors measures taken government protect marine fish resources mercykuttiamma small fish,kochi minister fisheries aquatic resources jayalalithaa dismissed rumors measures taken government protect marine fish resources mercykuttiamma small fish,2885 ,"['stricter measures', 'merisikutty amma', 'small fish ...', 'measures taken', 'dismissed rumors']"
120,prime minister modi condoles death nagaland assembly speaker,https://navbharattimes.indiatimes.com/india/prime-minister-modi-condoles-the-death-of-nagaland-assembly-speaker/articleshow/73040699.cms,new delhi december language prime minister narendra modi tuesday mourned demise nagaland assembly speaker vikho yoshu modi described hard working leader,new delhi december language prime minister narendra modi tuesday mourned demise nagaland assembly speaker vikho yoshu modi described hard working leader,3680 ,"['nagaland assembly speaker', 'hard working leader', 'tuesday mourned', 'new delhi', 'modi described', '31 december']"
121,airtel recharge rates double,http://www.mangalam.com/news/detail/361814-business-news.html,airtel hikes minimum recharge validity plan increased rs rs time changed plan days eat,airtel hikes minimum recharge validity plan rs rs time changed plan days eat,4620 ,"['rs 45', 'rs 23', 'eat ...', '28 days']"
